After 3	Po 3
<t2/>	<t2/>
 <t2/>	 <t2/>
suppleness	ohebné
imperceptible	imperceptible
imperceptible	nepostřehnutelné
suppler	ohebnější
introducing	vnesete
enthusiastic	nadšená
impressed	ohromený
sink in	pochopit
transmission	přenos
formation	formování
osteoporosis	osteoporóza
bronchospasm	bronchospasmu
insomnia	nespavost
constipation	zácpa
gallstones	žlučový kámen
stroke	mozková mrtvice
potassium	draslík
retinopathy	retinopatie
cramps	křeč
sedentary	sedavé
rate	míra
worrying	znepokojivá
disorder	porcuha
vessel	céva
offset	vyvážit
stiffening	ztuhnutí
flavonoid	flavonoid
nitric	dusnatý
artery	tepna
Mental Decline	mentálním úpadkem
impairment	postižení
systolic	systolický
Frail	křehký slabý
taper	omezit
fatty acid	mastná kyselina
boost	podpořit, oživit, zvýšit
oxidative stress	oxidační stres
Glaucoma	zelený zákal
counteract	potlačit
vintage	klasický
couture	luxusní moda, návrhářství
dupion	dupion
chiffon	šifon
taffeta	taft
satin	satén
designer	značkové, od návrháře, luxusní
premier	přední, hlavní
Communion	Přijímání	Jakože sváté přijímání, někdy také první svaté přijímání
Garter	Podvazky
beaded	ozdobný
lace	krajka, tkanička, prýmek
Apparel	šaty, oděv, oblečení
Wrap	přehoz
upshot	závěr, výsledek
inorganic	anorganický
Beetroot	červená řepa
nitrate	dusičnan
dilates	rozšiřuje
M.D.	MUDr.
Foundation	Nadace
funded	financovala
misguided	scestné
inciting	podnícením
rate	rytmus
inflammation	zánět
confer	radit, udělit, propůjčit
meta-analysis	metaanalýza
substantially	značně, výrazně
diastolic	diastolický
follow-up	pokračování, následný
disparity	rozdíl
disparity	nepoměr
subsequent	následující
subsequent	navazující
merits	zasluhuje, zaslouží
unequivocal	jednoznačný, nesporný
profuse	silné
indigestion	zažívací potíže
adverse	neblahé, nepříznivé
concern	obava
ludicrous	absurdní
silly	hloupé, pošetilé
allowance	vzít v úvahu, příspěvek, přídavek, kapesné
contend	potýkat, bojovat, tvrdit
resistance	odpor
vascular	cévní
perfusion	perfuze
conditions	onemocnění, podmínky, okolnosti
anemia	chudokrevnost
heart-valve	chlopeň
hypothyroidism	hypotyreóza
atherosclerosis	ateroskleróza
intense	silná, intenzivní
endocrinology	endokrinologie
pinpoint	zjistit, určit, špička
trigger	spustí, vyvolá, vzbudit
threshold	hranice, práh
panel	tým, skupina, porota
concluded	dojít k závěru, usoudit, vyvodit
reassessment	nové hodnocení, přehodnocení
president-elect	zvolený prezident
operationalize	operacionalizace
questioned	pochybnosti, zpochybňovat
stiffer	tužší
foolproof	jednoduché, prosté
lapsed	pominout, zaniknout, pochybení, výpadek
beta blockers	Beta-blokátor
dullness	otupělost
amiloride	amilorid
diuretic	diuretikum
Bottom line	Podstatné, to hlavní
appropriate	vhodný
proportion	část
prevalence	rozšíření, převaha
respondents	respondentů, dotazovaných
survey	průzkum
narrow	zúžit
Fluctuations	Kolísání
pneumonia	zápal plic
preemies	předčasně narozené dítě
Bask	slunit se, vyhřívat, vychutnávat
nitric	dusičná	kyselina dusičná
supple	ohebné, pružné
salmon	losos
compound	sloučenina
unaffected	neovlivněny
Colon	tračník
equator	rovník
Rheumatoid arthritis	revmatoidní artritida
Crohn's Disease	Crohnova nemoc
intestine	střevo
vibrant	jásná, živá
density	hustota, plnost
luscious	svůdné, přitažlivé
